transaction_id,timestamp,sender_id,receiver_id,sender_city,receiver_city,amount,transaction_type,upi_app,time_of_day,device_type,is_new_receiver,is_fraud,fraud_type,transaction_status
TXN0000001,2023-01-01 00:10:37,USR26143,USR04762,Lucknow,Delhi,22924.96,P2M,PhonePe,Late Night,iOS,0,0,,Success
TXN0000002,2023-01-01 00:39:03,USR13624,USR01628,Delhi,Bangalore,7248.02,Shopping,PhonePe,Late Night,iOS,0,0,,Success
TXN0000003,2023-01-01 01:16:08,USR47247,USR38081,Kolkata,Pune,45502.77,Recharge,Amazon Pay,Late Night,Android,0,0,,Success
TXN0000004,2023-01-01 01:35:16,USR32098,USR18563,Pune,Kolkata,17602.76,Recharge,GPay,Late Night,Android,0,0,,Success
TXN0000005,2023-01-01 02:06:57,USR18184,USR19519,Pune,Ahmedabad,33882.06,P2M,GPay,Late Night,Android,0,0,,Failed
TXN0000006,2023-01-01 02:10:54,USR19995,USR03273,Jaipur,Pune,15544.39,P2M,PhonePe,Late Night,Android,0,0,,Success
TXN0000007,2023-01-01 04:01:16,USR09210,USR45437,Kolkata,Delhi,31964.31,Bill Payment,GPay,Late Night,Android,0,0,,Success
TXN0000008,2023-01-01 04:58:48,USR24043,USR18430,Ahmedabad,Mumbai,42183.68,Bill Payment,PhonePe,Late Night,iOS,0,0,,Success
TXN0000009,2023-01-01 05:05:17,USR28977,USR38372,Ahmedabad,Delhi,36462.43,P2M,GPay,Morning,Android,0,0,,Success
TXN0000010,2023-01-01 06:50:10,USR05243,USR05443,Pune,Mumbai,20345.48,Bill Payment,Paytm,Morning,iOS,0,0,,Success
TXN0000011,2023-01-01 07:33:21,USR43005,USR43253,Mumbai,Chennai,45457.7,Shopping,Paytm,Morning,iOS,0,0,,Pending
TXN0000012,2023-01-01 08:31:27,USR16053,USR99077,Kolkata,Ahmedabad,33389.79,Shopping,GPay,Morning,Android,1,0,,Success
TXN0000013,2023-01-01 08:48:26,USR28243,USR04601,Mumbai,Bangalore,46083.56,P2P,BHIM,Morning,Android,0,0,,Success
TXN0000014,2023-01-01 09:29:33,USR36920,USR18025,Hyderabad,Kolkata,11920.84,Recharge,Paytm,Morning,Android,0,0,,Success
TXN0000015,2023-01-01 09:30:48,USR21111,USR40459,Mumbai,Hyderabad,9671.21,Bill Payment,GPay,Morning,Android,0,0,,Success
TXN0000016,2023-01-01 10:58:31,USR32370,USR83572,Ahmedabad,Lucknow,31209.7,P2M,PhonePe,Morning,Android,1,0,,Success
TXN0000017,2023-01-01 13:38:27,USR32547,USR27951,Ahmedabad,Kolkata,30942.98,P2M,PhonePe,Afternoon,Android,0,0,,Success
TXN0000018,2023-01-01 14:40:06,USR07431,USR34001,Bangalore,Kolkata,44960.8,P2P,PhonePe,Afternoon,Android,0,0,,Success
TXN0000019,2023-01-01 16:54:34,USR23914,USR31013,Pune,Ahmedabad,9639.73,P2P,GPay,Afternoon,Android,0,0,,Success
TXN0000020,2023-01-01 19:03:30,USR22214,USR34493,Mumbai,Kolkata,4923.99,P2P,PhonePe,Evening,iOS,0,0,,Success
TXN0000021,2023-01-01 20:32:24,USR14854,USR02745,Ahmedabad,Pune,47330.16,P2P,Paytm,Evening,Android,0,0,,Success
TXN0000022,2023-01-02 00:12:43,USR38863,USR23832,Delhi,Lucknow,16656.95,Bill Payment,PhonePe,Late Night,iOS,0,0,,Success
TXN0000023,2023-01-02 01:19:39,USR01302,USR37210,Kolkata,Pune,9999.0,P2P,GPay,Late Night,Android,0,1,Fake QR,Failed
TXN0000024,2023-01-02 01:24:28,USR18851,USR17213,Ahmedabad,Hyderabad,28133.71,Recharge,PhonePe,Late Night,Android,0,1,Phishing,Success
TXN0000025,2023-01-02 01:43:47,USR40808,USR17785,Kolkata,Mumbai,41209.54,P2P,PhonePe,Late Night,iOS,0,0,,Success
TXN0000026,2023-01-02 03:25:37,USR04008,USR92489,Bangalore,Jaipur,4999.0,P2P,GPay,Late Night,Feature Phone,1,1,Account Takeover,Success
TXN0000027,2023-01-02 03:54:33,USR11578,USR39580,Hyderabad,Hyderabad,39881.37,Recharge,GPay,Late Night,Android,0,0,,Success
TXN0000028,2023-01-02 06:27:33,USR49621,USR12615,Lucknow,Jaipur,10807.92,P2M,PhonePe,Morning,Android,0,0,,Success
TXN0000029,2023-01-02 06:28:49,USR10008,USR39441,Mumbai,Bangalore,9494.09,P2P,Paytm,Morning,Android,0,0,,Pending
TXN0000030,2023-01-02 06:45:42,USR15743,USR38901,Chennai,Jaipur,39927.34,P2M,Paytm,Morning,Android,0,0,,Success
TXN0000031,2023-01-02 06:48:13,USR14753,USR81665,Lucknow,Delhi,27284.94,P2M,PhonePe,Morning,Feature Phone,1,0,,Success
TXN0000032,2023-01-02 08:23:17,USR34658,USR21367,Delhi,Jaipur,32194.13,P2P,Paytm,Morning,Android,0,0,,Success
TXN0000033,2023-01-02 08:48:03,USR07888,USR16300,Bangalore,Hyderabad,956.81,P2P,BHIM,Morning,Android,0,0,,Failed
TXN0000034,2023-01-02 09:01:29,USR27993,USR93350,Bangalore,Kolkata,46873.04,P2P,PhonePe,Morning,Android,1,0,,Success
TXN0000035,2023-01-02 09:03:37,USR11535,USR48908,Chennai,Bangalore,1985.68,P2P,GPay,Morning,Android,0,0,,Success
